audit_log_id,entity_type,entity_id,field_name,old_value,new_value,changed_by_user_id,changed_at
1,support_request,1000001,current_status,,New,153,2026-06-09 10:48:00
2,support_request,1000001,current_status,New,Triaged,153,2026-06-09 18:48:00
3,support_request,1000001,current_status,Triaged,Assigned,153,2026-06-10 22:48:00
4,support_request,1000001,current_status,Assigned,In Progress,153,2026-06-10 16:48:00
5,support_request,1000001,current_status,In Progress,Resolved,153,2026-06-10 06:48:00
6,support_request,1000001,current_status,Resolved,Closed,153,2026-06-10 06:48:00
7,support_request,1000002,current_status,,New,249,2025-03-20 15:27:00
8,support_request,1000002,current_status,New,Triaged,249,2025-03-21 07:27:00
9,support_request,1000002,current_status,Triaged,Assigned,249,2025-03-20 19:27:00
10,support_request,1000002,current_status,Assigned,In Progress,249,2025-03-21 21:27:00
11,support_request,1000002,current_status,In Progress,Resolved,249,2025-03-21 23:27:00
12,support_request,1000003,current_status,,New,6,2026-01-31 14:01:00
13,support_request,1000003,current_status,New,Triaged,6,2026-02-01 07:01:00
14,support_request,1000003,current_status,Triaged,Assigned,6,2026-02-01 12:01:00
15,support_request,1000003,current_status,Assigned,In Progress,6,2026-02-01 05:01:00
16,support_request,1000003,current_status,In Progress,Pending Parent,6,2026-02-02 18:01:00
17,support_request,1000004,current_status,,New,73,2025-10-18 08:10:00
18,support_request,1000004,current_status,New,Triaged,73,2025-10-18 20:10:00
19,support_request,1000004,current_status,Triaged,Assigned,73,2025-10-19 10:10:00
20,support_request,1000004,current_status,Assigned,In Progress,73,2025-10-20 11:10:00
21,support_request,1000005,current_status,,New,107,2024-09-07 16:31:00
22,support_request,1000005,current_status,New,Triaged,107,2024-09-07 21:31:00
23,support_request,1000005,current_status,Triaged,Assigned,107,2024-09-08 02:31:00
24,support_request,1000005,current_status,Assigned,In Progress,107,2024-09-09 01:31:00
25,support_request,1000005,current_status,In Progress,Resolved,107,2024-09-09 08:31:00
26,support_request,1000005,current_status,Resolved,Closed,107,2024-09-09 23:31:00
27,support_request,1000006,current_status,,New,208,2025-01-22 14:24:00
28,support_request,1000006,current_status,New,Triaged,208,2025-01-22 17:24:00
29,support_request,1000006,current_status,Triaged,Assigned,208,2025-01-23 16:24:00
30,support_request,1000006,current_status,Assigned,In Progress,208,2025-01-23 05:24:00
31,support_request,1000007,current_status,,New,19,2025-02-08 16:30:00
32,support_request,1000007,current_status,New,Triaged,19,2025-02-08 19:30:00
33,support_request,1000007,current_status,Triaged,Assigned,19,2025-02-08 22:30:00
34,support_request,1000008,current_status,,New,55,2024-11-08 09:46:00
35,support_request,1000008,current_status,New,Triaged,55,2024-11-09 00:46:00
36,support_request,1000008,current_status,Triaged,Assigned,55,2024-11-08 23:46:00
37,support_request,1000008,current_status,Assigned,In Progress,55,2024-11-10 06:46:00
38,support_request,1000008,current_status,In Progress,Resolved,55,2024-11-10 17:46:00
39,support_request,1000009,current_status,,New,66,2024-09-18 10:50:00
40,support_request,1000009,current_status,New,Triaged,66,2024-09-18 14:50:00
41,support_request,1000009,current_status,Triaged,Assigned,66,2024-09-19 08:50:00
42,support_request,1000010,current_status,,New,215,2026-01-10 13:53:00
43,support_request,1000010,current_status,New,Triaged,215,2026-01-10 21:53:00
44,support_request,1000010,current_status,Triaged,Assigned,215,2026-01-11 11:53:00
45,support_request,1000010,current_status,Assigned,In Progress,215,2026-01-12 07:53:00
46,support_request,1000010,current_status,In Progress,Resolved,215,2026-01-13 01:53:00
47,support_request,1000011,current_status,,New,38,2025-10-09 10:33:00
48,support_request,1000011,current_status,New,Triaged,38,2025-10-10 01:33:00
49,support_request,1000011,current_status,Triaged,Assigned,38,2025-10-10 04:33:00
50,support_request,1000011,current_status,Assigned,In Progress,38,2025-10-11 07:33:00
51,support_request,1000012,current_status,,New,93,2025-09-14 08:03:00
52,support_request,1000012,current_status,New,Triaged,93,2025-09-14 19:03:00
53,support_request,1000012,current_status,Triaged,Assigned,93,2025-09-15 14:03:00
54,support_request,1000012,current_status,Assigned,In Progress,93,2025-09-16 05:03:00
55,support_request,1000012,current_status,In Progress,Escalated,93,2025-09-16 04:03:00
56,support_request,1000013,current_status,,New,196,2025-08-16 14:01:00
