assignment_id,request_id,assigned_user_id,assigned_at,unassigned_at,assignment_reason
1,1000001,153,2026-06-10 19:48:00,2026-07-02 11:48:00,category match
2,1000002,249,2025-03-21 11:27:00,,category match
3,1000003,6,2026-02-01 16:01:00,,manual reassignment
4,1000004,73,2025-10-18 12:10:00,,manual reassignment
5,1000005,107,2024-09-08 09:31:00,2024-10-02 21:31:00,school assignment
6,1000006,208,2025-01-22 21:24:00,,manual reassignment
7,1000007,19,2025-02-10 03:30:00,,manual reassignment
8,1000008,55,2024-11-08 18:46:00,,school assignment
9,1000009,66,2024-09-18 20:50:00,,manual reassignment
10,1000010,215,2026-01-12 01:53:00,,capacity based
11,1000011,38,2025-10-09 13:33:00,,capacity based
12,1000012,93,2025-09-15 08:03:00,,school assignment
13,1000013,196,2025-08-16 21:01:00,2025-09-13 20:01:00,capacity based
14,1000014,73,2026-06-23 19:00:00,,school assignment
15,1000015,97,2025-09-02 23:27:00,2025-09-13 10:27:00,school assignment
16,1000016,62,2024-11-16 23:30:00,,manual reassignment
17,1000017,35,2025-06-20 13:15:00,,manual reassignment
18,1000018,71,2025-01-20 19:23:00,2025-01-28 15:23:00,capacity based
19,1000019,16,2025-08-26 13:34:00,,school assignment
20,1000020,164,2025-02-24 13:54:00,,manual reassignment
21,1000021,86,2025-05-17 05:29:00,,capacity based
22,1000022,245,2026-04-23 02:40:00,,capacity based
23,1000023,147,2025-04-27 13:09:00,2025-05-29 17:09:00,school assignment
24,1000024,216,2025-10-16 13:28:00,2025-11-14 10:28:00,capacity based
25,1000025,37,2025-02-25 03:56:00,,capacity based
26,1000026,163,2025-04-10 09:19:00,,school assignment
27,1000027,213,2026-04-22 22:40:00,2026-05-05 11:40:00,capacity based
28,1000028,134,2025-10-29 07:17:00,,category match
29,1000029,117,2025-09-18 23:34:00,,capacity based
30,1000030,128,2025-10-15 22:15:00,,capacity based
31,1000031,34,2025-02-04 18:23:00,,manual reassignment
32,1000032,212,2025-10-21 08:52:00,,manual reassignment
33,1000033,237,2025-01-11 19:42:00,,school assignment
34,1000034,17,2024-10-01 23:18:00,2024-10-07 14:18:00,school assignment
35,1000035,16,2025-08-29 19:55:00,,category match
36,1000036,164,2024-11-29 11:56:00,,manual reassignment
37,1000037,86,2025-07-31 18:19:00,,school assignment
38,1000038,38,2026-04-20 15:27:00,2026-04-25 14:27:00,manual reassignment
39,1000039,272,2026-02-19 11:23:00,,category match
40,1000040,219,2024-09-19 12:46:00,,manual reassignment
41,1000041,117,2025-02-13 09:26:00,,manual reassignment
