escalation_id,request_id,from_user_id,to_department_id,escalation_reason,escalated_at,resolved_at
1,1000003,6,1,Capacity support,2026-02-07 14:01:00,2026-02-13 14:01:00
2,1000004,73,1,Multi-department coordination,2025-10-24 08:10:00,2025-10-25 08:10:00
3,1000005,107,7,SLA risk,2024-09-09 16:31:00,
4,1000015,97,8,Capacity support,2025-09-11 08:27:00,2025-09-14 08:27:00
5,1000016,62,7,Capacity support,2024-11-20 15:30:00,2024-11-27 15:30:00
6,1000028,134,5,Capacity support,2025-10-30 15:17:00,
7,1000045,138,3,SLA risk,2026-03-09 10:39:00,2026-03-14 10:39:00
8,1000066,174,2,Capacity support,2024-10-30 08:24:00,2024-11-02 08:24:00
9,1000075,165,8,Policy review,2024-11-19 10:09:00,2024-11-24 10:09:00
10,1000084,66,3,Multi-department coordination,2025-05-05 12:41:00,
11,1000108,17,2,Multi-department coordination,2026-04-16 09:00:00,2026-04-24 09:00:00
12,1000111,16,7,SLA risk,2025-03-17 14:13:00,2025-03-20 14:13:00
13,1000113,59,6,Capacity support,2025-02-02 09:13:00,
14,1000128,75,8,Multi-department coordination,2024-09-30 16:32:00,
15,1000171,151,3,Policy review,2024-12-19 12:59:00,2024-12-26 12:59:00
16,1000176,14,5,Capacity support,2025-09-14 14:12:00,2025-09-18 14:12:00
17,1000198,252,8,SLA risk,2024-12-05 10:13:00,2024-12-11 10:13:00
18,1000202,219,7,Multi-department coordination,2026-02-20 16:29:00,
19,1000215,71,7,Capacity support,2025-03-25 10:05:00,2025-03-29 10:05:00
20,1000219,23,1,SLA risk,2024-11-30 12:43:00,2024-12-08 12:43:00
21,1000235,68,8,Policy review,2025-11-10 10:37:00,
22,1000237,130,4,Multi-department coordination,2026-01-16 11:27:00,
23,1000252,72,2,Policy review,2025-11-19 16:49:00,2025-11-24 16:49:00
24,1000261,49,3,Capacity support,2026-03-19 10:04:00,2026-03-26 10:04:00
25,1000284,161,1,Multi-department coordination,2026-04-03 08:02:00,2026-04-09 08:02:00
26,1000285,139,8,Multi-department coordination,2024-10-18 09:51:00,
27,1000286,170,1,Capacity support,2025-05-02 13:08:00,2025-05-07 13:08:00
28,1000302,21,2,Capacity support,2026-04-20 14:43:00,2026-04-22 14:43:00
29,1000307,48,4,SLA risk,2025-10-22 15:01:00,
30,1000316,18,4,Capacity support,2025-12-29 14:38:00,
31,1000335,122,1,Multi-department coordination,2025-12-24 14:32:00,2025-12-27 14:32:00
32,1000352,81,3,Multi-department coordination,2024-12-09 08:55:00,2024-12-13 08:55:00
33,1000363,169,6,Capacity support,2025-01-03 09:34:00,
34,1000365,171,4,Policy review,2026-05-11 11:11:00,2026-05-19 11:11:00
35,1000370,122,3,Multi-department coordination,2026-06-16 14:24:00,
36,1000376,197,2,SLA risk,2025-08-10 16:20:00,2025-08-14 16:20:00
37,1000389,139,1,Capacity support,2025-10-19 10:56:00,
38,1000402,22,6,SLA risk,2024-09-12 15:34:00,
39,1000413,169,2,Policy review,2025-04-28 14:15:00,2025-05-06 14:15:00
40,1000439,197,3,SLA risk,2025-01-07 13:34:00,2025-01-15 13:34:00
41,1000441,28,4,SLA risk,2025-04-22 14:14:00,2025-04-27 14:14:00
42,1000450,255,5,Policy review,2025-03-19 16:39:00,2025-03-20 16:39:00
43,1000458,6,3,Capacity support,2026-05-08 16:05:00,
44,1000461,109,4,Multi-department coordination,2025-04-16 10:55:00,
45,1000473,124,4,Policy review,2025-12-22 14:05:00,2025-12-27 14:05:00
46,1000485,126,3,Policy review,2026-05-23 14:19:00,
47,1000501,132,8,Policy review,2024-11-17 13:41:00,2024-11-22 13:41:00
48,1000519,216,5,Capacity support,2025-01-11 12:51:00,
49,1000528,152,5,Multi-department coordination,2025-01-21 09:54:00,
50,1000534,173,3,SLA risk,2025-01-08 14:08:00,2025-01-11 14:08:00
51,1000571,176,6,Multi-department coordination,2026-03-26 13:20:00,
52,1000582,137,1,Multi-department coordination,2026-02-01 16:07:00,2026-02-03 16:07:00
53,1000590,22,2,Multi-department coordination,2026-01-13 15:24:00,
54,1000591,147,8,Capacity support,2024-11-26 14:19:00,2024-11-30 14:19:00
55,1000596,59,4,Policy review,2026-02-26 16:11:00,
