intervention_id,request_id,intervention_type,intervention_date,recorded_by_user_id
1,1000002,Administrative review,2025-03-23,249
2,1000005,Counselor meeting,2024-09-12,107
3,1000011,Administrative review,2025-10-18,38
4,1000023,Administrative review,2025-05-12,147
5,1000025,Resource referral,2025-03-04,37
6,1000029,Parent outreach,2025-09-27,117
7,1000030,Parent outreach,2025-10-31,128
8,1000037,Resource referral,2025-08-19,86
9,1000042,Counselor meeting,2025-07-27,51
10,1000046,Parent outreach,2025-03-28,219
11,1000049,Administrative review,2026-07-05,83
12,1000050,Administrative review,2025-08-16,77
13,1000054,Administrative review,2025-11-02,30
14,1000059,Counselor meeting,2025-01-28,126
15,1000066,Administrative review,2024-11-12,174
16,1000073,Parent outreach,2025-04-28,103
17,1000078,Counselor meeting,2026-01-21,141
18,1000084,Administrative review,2025-05-21,66
19,1000089,Resource referral,2025-05-02,104
20,1000093,Peer mediation,2026-04-13,23
21,1000094,Resource referral,2025-04-15,218
22,1000095,Counselor meeting,2025-04-19,163
23,1000097,Parent outreach,2025-06-28,121
24,1000099,Parent outreach,2025-12-10,114
25,1000100,Parent outreach,2026-02-14,193
26,1000101,Administrative review,2025-05-05,187
27,1000104,Resource referral,2025-02-25,97
28,1000105,Resource referral,2024-10-11,162
29,1000111,Counselor meeting,2025-03-18,16
30,1000113,Counselor meeting,2025-02-12,59
31,1000121,Administrative review,2024-12-10,5
32,1000123,Resource referral,2026-02-21,65
33,1000130,Parent outreach,2026-05-04,101
34,1000131,Resource referral,2025-11-20,193
35,1000135,Peer mediation,2025-12-16,91
36,1000137,Counselor meeting,2024-12-19,39
37,1000139,Parent outreach,2025-05-11,226
38,1000141,Resource referral,2025-06-13,4
39,1000142,Counselor meeting,2025-10-10,158
40,1000151,Counselor meeting,2025-11-06,227
41,1000152,Peer mediation,2024-11-09,66
42,1000154,Parent outreach,2025-06-17,132
43,1000156,Resource referral,2025-07-15,61
44,1000157,Resource referral,2026-01-28,158
45,1000163,Peer mediation,2026-03-06,64
46,1000164,Counselor meeting,2024-10-25,52
47,1000165,Peer mediation,2025-09-18,98
48,1000167,Peer mediation,2025-05-01,143
49,1000170,Counselor meeting,2026-01-04,182
50,1000177,Counselor meeting,2026-05-13,8
51,1000178,Parent outreach,2025-04-12,271
52,1000179,Counselor meeting,2025-04-18,245
53,1000181,Peer mediation,2025-06-12,151
54,1000189,Peer mediation,2026-06-24,108
55,1000190,Counselor meeting,2025-09-18,128
56,1000192,Peer mediation,2025-09-05,81
57,1000193,Administrative review,2026-01-02,92
58,1000195,Counselor meeting,2025-04-17,182
59,1000198,Administrative review,2024-12-15,252
60,1000199,Peer mediation,2026-01-01,89
61,1000200,Parent outreach,2026-02-26,172
62,1000201,Resource referral,2024-11-02,15
63,1000202,Resource referral,2026-02-15,219
64,1000203,Resource referral,2025-03-31,119
65,1000205,Administrative review,2025-07-12,268
66,1000206,Administrative review,2026-04-25,239
67,1000213,Resource referral,2026-05-29,129
68,1000214,Resource referral,2026-06-03,132
69,1000218,Administrative review,2024-10-17,28
70,1000222,Peer mediation,2026-04-17,137
71,1000227,Peer mediation,2025-10-31,79
72,1000233,Resource referral,2026-04-09,79
73,1000237,Resource referral,2026-01-26,130
74,1000241,Administrative review,2025-11-24,27
75,1000242,Resource referral,2024-11-05,171
76,1000244,Peer mediation,2026-03-20,169
77,1000246,Peer mediation,2025-06-13,114
78,1000249,Counselor meeting,2024-10-20,159
79,1000255,Parent outreach,2025-06-17,239
