notification_id,request_id,recipient_user_id,notification_type,sent_at,read_at
1,1000001,153,SLA At Risk,2026-06-09 19:48:00,2026-06-11 05:48:00
2,1000001,153,Follow-up Due,2026-06-12 00:48:00,2026-06-13 01:48:00
3,1000002,249,Escalation,2025-03-22 19:27:00,2025-03-24 18:27:00
4,1000002,249,Closure,2025-03-22 19:27:00,2025-03-24 02:27:00
5,1000003,6,Escalation,2026-02-01 09:01:00,2026-02-02 00:01:00
6,1000003,6,Follow-up Due,2026-02-02 08:01:00,2026-02-04 08:01:00
7,1000004,73,Closure,2025-10-20 08:10:00,2025-10-21 16:10:00
8,1000005,107,Escalation,2024-09-09 11:31:00,
9,1000006,208,Escalation,2025-01-24 15:24:00,2025-01-25 15:24:00
10,1000007,19,Follow-up Due,2025-02-10 10:30:00,2025-02-10 17:30:00
11,1000008,55,Assignment,2024-11-08 18:46:00,
12,1000009,66,Closure,2024-09-18 14:50:00,2024-09-19 07:50:00
13,1000009,66,Follow-up Due,2024-09-20 04:50:00,2024-09-20 06:50:00
14,1000010,215,Escalation,2026-01-12 23:53:00,2026-01-13 11:53:00
15,1000010,215,Escalation,2026-01-12 10:53:00,
16,1000011,38,Assignment,2025-10-10 05:33:00,2025-10-10 15:33:00
17,1000012,93,Assignment,2025-09-15 00:03:00,2025-09-16 12:03:00
18,1000013,196,Follow-up Due,2025-08-19 00:01:00,2025-08-20 04:01:00
19,1000014,73,Follow-up Due,2026-06-24 01:00:00,
20,1000015,97,SLA At Risk,2025-09-03 16:27:00,
21,1000015,97,SLA At Risk,2025-09-02 13:27:00,2025-09-04 06:27:00
22,1000016,62,Escalation,2024-11-17 10:30:00,2024-11-19 05:30:00
23,1000017,35,Assignment,2025-06-20 07:15:00,2025-06-21 01:15:00
24,1000018,71,Closure,2025-01-20 17:23:00,2025-01-22 05:23:00
25,1000018,71,Escalation,2025-01-21 18:23:00,2025-01-23 05:23:00
26,1000019,16,Follow-up Due,2025-08-27 12:34:00,2025-08-28 16:34:00
27,1000020,164,Closure,2025-02-23 23:54:00,2025-02-25 16:54:00
28,1000021,86,Assignment,2025-05-19 01:29:00,2025-05-20 00:29:00
29,1000021,86,Assignment,2025-05-19 02:29:00,2025-05-20 22:29:00
30,1000022,245,Escalation,2026-04-23 00:40:00,2026-04-24 01:40:00
31,1000022,245,Assignment,2026-04-24 21:40:00,2026-04-26 15:40:00
32,1000023,147,SLA At Risk,2025-04-27 07:09:00,2025-04-27 21:09:00
33,1000024,216,Follow-up Due,2025-10-19 00:28:00,2025-10-19 04:28:00
34,1000024,216,Escalation,2025-10-17 16:28:00,2025-10-18 23:28:00
35,1000025,37,Closure,2025-02-26 03:56:00,
36,1000025,37,SLA At Risk,2025-02-24 20:56:00,2025-02-26 00:56:00
37,1000026,163,Follow-up Due,2025-04-11 12:19:00,
38,1000027,213,Assignment,2026-04-23 12:40:00,2026-04-24 02:40:00
39,1000027,213,SLA At Risk,2026-04-23 11:40:00,2026-04-25 03:40:00
40,1000028,134,Escalation,2025-10-29 17:17:00,
41,1000029,117,Assignment,2025-09-19 00:34:00,
42,1000030,128,Assignment,2025-10-17 09:15:00,2025-10-19 00:15:00
43,1000031,34,SLA At Risk,2025-02-07 05:23:00,2025-02-07 13:23:00
44,1000032,212,Follow-up Due,2025-10-21 16:52:00,2025-10-22 07:52:00
45,1000033,237,Follow-up Due,2025-01-11 19:42:00,2025-01-12 00:42:00
46,1000033,237,Escalation,2025-01-12 11:42:00,2025-01-12 13:42:00
47,1000034,17,SLA At Risk,2024-10-02 14:18:00,2024-10-03 01:18:00
48,1000034,17,Escalation,2024-10-03 15:18:00,
49,1000035,16,Assignment,2025-09-01 04:55:00,2025-09-01 18:55:00
50,1000035,16,Closure,2025-08-30 01:55:00,2025-08-31 13:55:00
51,1000036,164,Follow-up Due,2024-12-01 01:56:00,2024-12-02 01:56:00
52,1000037,86,SLA At Risk,2025-07-30 16:19:00,2025-07-31 05:19:00
53,1000038,38,Closure,2026-04-22 14:27:00,2026-04-23 05:27:00
54,1000038,38,Closure,2026-04-20 18:27:00,2026-04-21 19:27:00
55,1000039,272,Escalation,2026-02-19 10:23:00,
56,1000039,272,Follow-up Due,2026-02-18 22:23:00,2026-02-20 21:23:00
57,1000040,219,Closure,2024-09-21 08:46:00,2024-09-21 09:46:00
58,1000040,219,Assignment,2024-09-19 22:46:00,2024-09-21 06:46:00
59,1000041,117,Assignment,2025-02-14 05:26:00,
60,1000042,51,SLA At Risk,2025-07-12 12:22:00,
61,1000043,245,Assignment,2024-08-28 13:47:00,2024-08-29 06:47:00
62,1000044,57,SLA At Risk,2024-08-24 07:55:00,2024-08-26 02:55:00
63,1000045,138,Closure,2026-03-03 08:39:00,
64,1000045,138,Follow-up Due,2026-03-01 00:39:00,2026-03-02 16:39:00
65,1000046,219,Escalation,2025-03-22 20:40:00,
66,1000047,35,Assignment,2025-07-09 05:31:00,2025-07-09 22:31:00
67,1000048,170,Follow-up Due,2026-01-17 18:22:00,2026-01-18 20:22:00
68,1000049,83,Assignment,2026-07-01 04:53:00,
69,1000049,83,Assignment,2026-06-30 20:53:00,2026-07-02 08:53:00
70,1000050,77,Follow-up Due,2025-07-31 15:06:00,2025-07-31 21:06:00
71,1000051,104,Follow-up Due,2024-11-09 11:00:00,2024-11-10 21:00:00
72,1000052,37,Follow-up Due,2024-10-31 15:25:00,2024-11-01 19:25:00
73,1000052,37,Escalation,2024-11-03 06:25:00,2024-11-04 05:25:00
74,1000053,143,Closure,2025-10-22 20:00:00,
75,1000054,30,Closure,2025-10-28 15:46:00,2025-10-28 21:46:00
76,1000055,141,Escalation,2026-03-11 03:37:00,2026-03-11 22:37:00
77,1000055,141,SLA At Risk,2026-03-10 02:37:00,
78,1000056,178,Closure,2025-07-17 11:22:00,2025-07-18 22:22:00
79,1000057,30,Escalation,2025-02-17 05:01:00,2025-02-18 03:01:00
80,1000058,76,Assignment,2026-06-26 12:52:00,2026-06-26 20:52:00
81,1000059,126,Closure,2025-01-26 02:24:00,2025-01-26 08:24:00
82,1000060,143,Follow-up Due,2024-08-27 08:48:00,2024-08-29 05:48:00
83,1000061,186,SLA At Risk,2024-10-07 00:10:00,2024-10-08 14:10:00
84,1000062,87,Escalation,2025-06-20 07:13:00,2025-06-21 05:13:00
85,1000063,122,Follow-up Due,2025-11-28 19:01:00,2025-11-29 14:01:00
86,1000064,31,Escalation,2025-09-09 09:14:00,2025-09-09 19:14:00
87,1000064,31,Escalation,2025-09-11 10:14:00,2025-09-11 23:14:00
88,1000065,193,SLA At Risk,2025-05-16 05:30:00,
89,1000066,174,Assignment,2024-10-31 22:24:00,2024-11-02 19:24:00
90,1000066,174,Follow-up Due,2024-11-01 05:24:00,2024-11-02 06:24:00
91,1000067,23,SLA At Risk,2025-11-27 10:13:00,2025-11-28 16:13:00
92,1000068,88,Assignment,2025-07-20 22:57:00,2025-07-21 11:57:00
93,1000069,137,SLA At Risk,2026-05-28 07:55:00,2026-05-29 22:55:00
94,1000069,137,Follow-up Due,2026-05-27 11:55:00,2026-05-27 20:55:00
95,1000070,144,SLA At Risk,2026-03-08 15:15:00,
96,1000071,30,Follow-up Due,2025-12-15 19:52:00,2025-12-16 10:52:00
97,1000072,5,Assignment,2025-11-18 05:58:00,
98,1000073,103,Assignment,2025-04-15 19:15:00,2025-04-17 14:15:00
99,1000074,156,Escalation,2026-03-20 13:42:00,
100,1000074,156,Escalation,2026-03-21 22:42:00,2026-03-22 23:42:00
101,1000075,165,Follow-up Due,2024-11-11 06:09:00,2024-11-12 16:09:00
102,1000076,57,Assignment,2024-09-07 21:29:00,2024-09-09 13:29:00
103,1000077,16,Escalation,2026-01-16 03:41:00,
104,1000078,141,Follow-up Due,2026-01-07 10:30:00,2026-01-09 08:30:00
105,1000079,102,Assignment,2025-10-09 15:32:00,
106,1000080,37,Closure,2024-08-20 02:39:00,2024-08-20 09:39:00
107,1000081,96,SLA At Risk,2026-01-01 02:27:00,2026-01-02 10:27:00
108,1000082,80,Assignment,2025-08-16 05:33:00,2025-08-17 09:33:00
109,1000083,101,Assignment,2025-01-18 20:29:00,
110,1000084,66,Assignment,2025-05-06 10:41:00,2025-05-07 05:41:00
111,1000085,129,SLA At Risk,2024-09-18 22:21:00,2024-09-19 13:21:00
112,1000086,29,SLA At Risk,2025-03-08 05:16:00,2025-03-09 08:16:00
113,1000087,71,SLA At Risk,2024-12-01 00:43:00,2024-12-01 16:43:00
114,1000088,176,Escalation,2026-05-11 08:01:00,2026-05-11 18:01:00
115,1000089,104,SLA At Risk,2025-04-26 01:08:00,2025-04-26 12:08:00
116,1000090,107,Closure,2026-01-27 05:22:00,2026-01-28 17:22:00
117,1000091,77,SLA At Risk,2025-04-24 20:01:00,2025-04-25 15:01:00
118,1000092,220,SLA At Risk,2025-05-13 16:30:00,2025-05-15 09:30:00
119,1000092,220,Follow-up Due,2025-05-14 11:30:00,2025-05-15 06:30:00
120,1000093,23,Closure,2026-03-28 09:09:00,2026-03-30 02:09:00
121,1000094,218,Closure,2025-04-09 11:55:00,
122,1000095,163,Assignment,2025-04-15 14:34:00,2025-04-16 03:34:00
123,1000096,82,Assignment,2026-06-04 10:52:00,2026-06-05 13:52:00
124,1000096,82,SLA At Risk,2026-06-02 08:52:00,2026-06-04 00:52:00
125,1000097,121,Follow-up Due,2025-06-18 04:20:00,2025-06-19 01:20:00
126,1000098,149,Follow-up Due,2025-08-25 20:06:00,
127,1000098,149,Assignment,2025-08-23 11:06:00,
128,1000099,114,Follow-up Due,2025-12-06 09:58:00,2025-12-06 14:58:00
129,1000099,114,Follow-up Due,2025-12-04 21:58:00,2025-12-05 01:58:00
130,1000100,193,SLA At Risk,2026-02-03 18:24:00,2026-02-04 12:24:00
131,1000101,187,Escalation,2025-04-21 01:27:00,2025-04-22 13:27:00
132,1000102,173,Closure,2025-10-07 20:04:00,2025-10-08 12:04:00
133,1000103,7,Closure,2025-12-23 04:04:00,2025-12-23 10:04:00
134,1000104,97,Closure,2025-02-21 15:03:00,2025-02-22 20:03:00
135,1000105,162,Closure,2024-10-08 21:37:00,2024-10-10 18:37:00
136,1000106,161,Closure,2026-05-28 02:08:00,2026-05-29 00:08:00
137,1000107,270,Escalation,2024-11-22 07:22:00,2024-11-22 09:22:00
138,1000107,270,SLA At Risk,2024-11-20 17:22:00,2024-11-22 08:22:00
139,1000108,17,Follow-up Due,2026-04-06 11:00:00,2026-04-08 10:00:00
140,1000108,17,Follow-up Due,2026-04-08 03:00:00,
141,1000109,68,Escalation,2026-02-23 09:33:00,
142,1000110,8,Assignment,2025-12-26 05:19:00,2025-12-28 01:19:00
143,1000111,16,Closure,2025-03-14 18:13:00,
144,1000111,16,Escalation,2025-03-13 07:13:00,
145,1000112,18,SLA At Risk,2024-12-28 19:38:00,2024-12-28 22:38:00
146,1000112,18,SLA At Risk,2024-12-27 07:38:00,
147,1000113,59,Assignment,2025-02-02 13:13:00,2025-02-03 17:13:00
148,1000114,2,Follow-up Due,2024-12-15 03:15:00,
149,1000114,2,Closure,2024-12-15 11:15:00,2024-12-16 02:15:00
150,1000115,8,SLA At Risk,2026-01-10 06:49:00,2026-01-12 02:49:00
151,1000115,8,Closure,2026-01-10 06:49:00,2026-01-12 01:49:00
152,1000116,180,Closure,2024-10-08 07:52:00,2024-10-10 06:52:00
153,1000117,237,SLA At Risk,2026-01-27 05:10:00,
154,1000118,149,Assignment,2024-12-29 00:17:00,2024-12-30 01:17:00
155,1000119,76,Follow-up Due,2024-10-09 18:46:00,2024-10-10 06:46:00
156,1000120,122,Closure,2025-10-11 13:27:00,2025-10-12 20:27:00
157,1000121,5,Closure,2024-12-06 08:49:00,
158,1000122,72,Assignment,2024-09-15 11:19:00,2024-09-17 07:19:00
159,1000122,72,Closure,2024-09-15 00:19:00,2024-09-15 14:19:00
160,1000123,65,Assignment,2026-02-06 09:43:00,2026-02-08 01:43:00
161,1000124,118,SLA At Risk,2024-10-04 08:49:00,2024-10-04 10:49:00
162,1000125,249,SLA At Risk,2025-05-21 17:05:00,
163,1000126,121,SLA At Risk,2026-06-23 08:52:00,2026-06-24 18:52:00
164,1000126,121,Escalation,2026-06-21 18:52:00,2026-06-23 08:52:00
165,1000127,186,Closure,2024-09-24 17:14:00,2024-09-25 03:14:00
166,1000128,75,Closure,2024-09-23 22:32:00,2024-09-24 12:32:00
167,1000129,32,Closure,2025-09-27 12:06:00,2025-09-27 14:06:00
168,1000130,101,Closure,2026-04-25 05:29:00,2026-04-25 10:29:00
169,1000131,193,Closure,2025-11-12 13:02:00,2025-11-12 18:02:00
170,1000132,15,Assignment,2025-08-17 08:00:00,2025-08-18 10:00:00
171,1000133,51,Assignment,2025-11-12 02:19:00,2025-11-13 22:19:00
172,1000134,221,Escalation,2025-07-04 09:36:00,2025-07-04 13:36:00
173,1000134,221,Follow-up Due,2025-07-02 12:36:00,2025-07-04 00:36:00
174,1000135,91,Escalation,2025-11-29 06:21:00,2025-11-30 03:21:00
175,1000136,170,SLA At Risk,2025-12-28 19:10:00,2025-12-30 13:10:00
176,1000136,170,SLA At Risk,2025-12-31 01:10:00,
177,1000137,39,Escalation,2024-12-18 20:19:00,
178,1000138,65,Assignment,2025-08-05 05:02:00,2025-08-07 02:02:00
179,1000139,226,Escalation,2025-05-11 08:57:00,2025-05-11 13:57:00
