status_history_id,request_id,previous_status,new_status,changed_by_user_id,changed_at
1,1000001,,New,153,2026-06-09 10:48:00
2,1000001,New,Triaged,153,2026-06-10 03:48:00
3,1000001,Triaged,Assigned,153,2026-06-10 16:48:00
4,1000001,Assigned,In Progress,153,2026-06-11 07:48:00
5,1000001,In Progress,Resolved,153,2026-06-10 14:48:00
6,1000001,Resolved,Closed,153,2026-06-11 22:48:00
7,1000002,,New,249,2025-03-20 15:27:00
8,1000002,New,Triaged,249,2025-03-21 07:27:00
9,1000002,Triaged,Assigned,249,2025-03-21 07:27:00
10,1000002,Assigned,In Progress,249,2025-03-21 03:27:00
11,1000002,In Progress,Resolved,249,2025-03-21 15:27:00
12,1000003,,New,6,2026-01-31 14:01:00
13,1000003,New,Triaged,6,2026-01-31 20:01:00
14,1000003,Triaged,Assigned,6,2026-02-01 02:01:00
15,1000003,Assigned,In Progress,6,2026-02-02 02:01:00
16,1000003,In Progress,Pending Parent,6,2026-02-01 22:01:00
17,1000004,,New,73,2025-10-18 08:10:00
18,1000004,New,Triaged,73,2025-10-19 00:10:00
19,1000004,Triaged,Assigned,73,2025-10-19 04:10:00
20,1000004,Assigned,In Progress,73,2025-10-20 14:10:00
21,1000005,,New,107,2024-09-07 16:31:00
22,1000005,New,Triaged,107,2024-09-07 23:31:00
23,1000005,Triaged,Assigned,107,2024-09-08 14:31:00
24,1000005,Assigned,In Progress,107,2024-09-09 10:31:00
25,1000005,In Progress,Resolved,107,2024-09-08 20:31:00
26,1000005,Resolved,Closed,107,2024-09-08 07:31:00
27,1000006,,New,208,2025-01-22 14:24:00
28,1000006,New,Triaged,208,2025-01-23 08:24:00
29,1000006,Triaged,Assigned,208,2025-01-23 18:24:00
30,1000006,Assigned,In Progress,208,2025-01-24 08:24:00
31,1000007,,New,19,2025-02-08 16:30:00
32,1000007,New,Triaged,19,2025-02-09 01:30:00
33,1000007,Triaged,Assigned,19,2025-02-09 12:30:00
34,1000008,,New,55,2024-11-08 09:46:00
35,1000008,New,Triaged,55,2024-11-09 00:46:00
36,1000008,Triaged,Assigned,55,2024-11-09 13:46:00
37,1000008,Assigned,In Progress,55,2024-11-08 18:46:00
