student_id,school_id,grade_band,anonymized_student_key,active_flag
1,11,6-8,ANON-000001-7236,True
2,15,6-8,ANON-000002-6053,True
3,9,6-8,ANON-000003-9401,True
4,29,9-12,ANON-000004-8635,True
5,4,9-12,ANON-000005-6246,True
6,30,3-5,ANON-000006-7073,True
7,11,9-12,ANON-000007-1749,True
8,19,3-5,ANON-000008-3390,True
9,1,6-8,ANON-000009-7841,True
10,10,3-5,ANON-000010-4214,True
11,11,3-5,ANON-000011-7223,True
12,19,3-5,ANON-000012-9180,True
13,18,6-8,ANON-000013-5216,True
14,25,9-12,ANON-000014-9037,True
15,15,3-5,ANON-000015-6770,True
16,6,3-5,ANON-000016-9954,True
17,16,3-5,ANON-000017-9882,True
18,21,K-2,ANON-000018-9584,True
19,2,K-2,ANON-000019-1794,True
20,25,K-2,ANON-000020-7756,True
21,5,3-5,ANON-000021-2113,True
22,23,3-5,ANON-000022-1149,True
23,7,9-12,ANON-000023-7114,True
24,2,9-12,ANON-000024-8993,True
25,1,K-2,ANON-000025-9719,True
26,18,9-12,ANON-000026-1194,True
27,1,6-8,ANON-000027-9777,True
28,10,K-2,ANON-000028-9228,True
29,27,9-12,ANON-000029-3937,True
30,4,K-2,ANON-000030-9591,True
31,5,3-5,ANON-000031-4144,True
32,20,6-8,ANON-000032-6807,True
33,9,9-12,ANON-000033-2294,True
34,12,9-12,ANON-000034-8520,True
35,19,3-5,ANON-000035-4700,True
36,10,K-2,ANON-000036-1519,True
37,3,9-12,ANON-000037-7213,True
38,13,9-12,ANON-000038-1919,True
39,21,K-2,ANON-000039-3807,True
40,3,9-12,ANON-000040-8109,True
41,21,6-8,ANON-000041-2562,True
42,29,K-2,ANON-000042-4764,True
43,7,9-12,ANON-000043-5441,True
44,2,K-2,ANON-000044-5593,True
45,29,K-2,ANON-000045-3938,True
46,30,6-8,ANON-000046-1256,True
47,7,3-5,ANON-000047-7525,True
48,30,K-2,ANON-000048-5903,True
49,6,3-5,ANON-000049-7375,True
50,22,6-8,ANON-000050-7288,True
51,25,3-5,ANON-000051-2284,True
52,17,6-8,ANON-000052-1879,True
53,4,9-12,ANON-000053-4803,True
54,27,K-2,ANON-000054-6580,True
55,20,9-12,ANON-000055-6347,True
56,1,6-8,ANON-000056-8381,True
57,16,3-5,ANON-000057-6829,True
58,18,9-12,ANON-000058-8075,True
59,6,9-12,ANON-000059-2404,True
60,25,6-8,ANON-000060-5037,True
61,23,K-2,ANON-000061-2344,True
62,9,3-5,ANON-000062-7225,True
63,23,3-5,ANON-000063-7383,True
64,11,6-8,ANON-000064-2745,True
65,3,K-2,ANON-000065-6050,True
66,15,6-8,ANON-000066-5419,True
67,4,3-5,ANON-000067-2430,True
68,6,9-12,ANON-000068-8353,True
69,18,9-12,ANON-000069-2692,True
70,1,K-2,ANON-000070-6798,True
71,18,K-2,ANON-000071-6315,True
72,28,9-12,ANON-000072-1202,True
73,10,9-12,ANON-000073-7353,True
74,25,K-2,ANON-000074-4977,True
75,19,3-5,ANON-000075-7237,True
76,6,3-5,ANON-000076-5405,True
77,10,6-8,ANON-000077-9079,True
78,5,K-2,ANON-000078-3739,True
79,14,6-8,ANON-000079-7899,True
80,10,9-12,ANON-000080-2260,True
81,12,6-8,ANON-000081-5040,True
82,24,9-12,ANON-000082-4203,True
83,15,K-2,ANON-000083-3219,True
84,10,K-2,ANON-000084-7483,True
85,11,9-12,ANON-000085-6399,True
86,15,6-8,ANON-000086-8055,True
87,27,3-5,ANON-000087-5922,True
88,11,3-5,ANON-000088-8848,True
89,11,3-5,ANON-000089-7524,True
90,11,6-8,ANON-000090-9044,True
91,19,3-5,ANON-000091-6339,True
92,13,6-8,ANON-000092-7437,True
93,12,K-2,ANON-000093-4273,True
94,19,3-5,ANON-000094-1440,True
95,24,9-12,ANON-000095-4434,True
96,15,6-8,ANON-000096-2133,True
97,27,9-12,ANON-000097-9180,True
98,5,6-8,ANON-000098-4965,True
99,9,3-5,ANON-000099-7932,True
100,26,9-12,ANON-000100-2211,True
101,15,9-12,ANON-000101-7566,True
102,18,9-12,ANON-000102-9907,True
103,2,6-8,ANON-000103-9796,True
104,20,K-2,ANON-000104-2791,True
105,25,3-5,ANON-000105-6816,True
106,6,K-2,ANON-000106-7547,True
107,25,6-8,ANON-000107-8052,True
108,4,K-2,ANON-000108-2615,True
109,9,3-5,ANON-000109-9366,True
110,24,3-5,ANON-000110-8303,True
111,12,9-12,ANON-000111-8586,True
112,25,3-5,ANON-000112-6651,True
113,1,9-12,ANON-000113-2712,True
114,10,9-12,ANON-000114-2406,True
115,4,3-5,ANON-000115-6707,True
116,10,6-8,ANON-000116-8460,True
117,26,3-5,ANON-000117-9537,True
118,16,6-8,ANON-000118-8801,True
119,4,9-12,ANON-000119-8412,True
120,11,K-2,ANON-000120-5919,True
121,2,K-2,ANON-000121-1370,True
122,28,6-8,ANON-000122-2791,True
123,22,3-5,ANON-000123-4996,True
124,17,3-5,ANON-000124-3623,True
125,11,9-12,ANON-000125-8570,True
126,8,9-12,ANON-000126-4022,True
127,6,9-12,ANON-000127-7481,True
128,1,3-5,ANON-000128-8365,True
129,19,9-12,ANON-000129-7370,True
130,1,3-5,ANON-000130-4371,True
131,9,K-2,ANON-000131-2667,True
132,26,3-5,ANON-000132-6993,True
133,11,3-5,ANON-000133-8496,True
134,4,6-8,ANON-000134-9019,True
135,17,6-8,ANON-000135-7367,True
136,20,9-12,ANON-000136-2871,True
137,12,6-8,ANON-000137-8501,True
138,20,3-5,ANON-000138-5873,True
139,30,K-2,ANON-000139-3194,True
140,11,K-2,ANON-000140-4908,True
141,10,K-2,ANON-000141-3999,True
142,12,3-5,ANON-000142-9369,True
143,13,9-12,ANON-000143-3258,True
144,19,9-12,ANON-000144-7931,True
145,6,9-12,ANON-000145-9804,True
146,23,3-5,ANON-000146-3733,True
147,16,6-8,ANON-000147-3298,True
148,6,6-8,ANON-000148-8389,True
149,20,K-2,ANON-000149-6882,True
150,1,9-12,ANON-000150-3236,True
151,7,9-12,ANON-000151-9281,True
152,21,9-12,ANON-000152-7703,True
153,22,9-12,ANON-000153-7809,True
154,23,9-12,ANON-000154-9006,True
155,6,K-2,ANON-000155-1505,True
156,26,3-5,ANON-000156-5785,True
157,2,6-8,ANON-000157-4683,True
158,18,6-8,ANON-000158-3755,True
159,25,9-12,ANON-000159-9115,True
160,18,K-2,ANON-000160-2871,True
161,9,6-8,ANON-000161-9880,True
162,27,K-2,ANON-000162-8231,True
163,18,3-5,ANON-000163-7965,True
164,4,3-5,ANON-000164-5877,True
165,28,K-2,ANON-000165-8368,True
