request_id,school_id,student_id,category_id,term_id,priority,intake_channel,current_status,submitted_at,first_response_at,resolved_at,closed_at,reopened_flag,sla_policy_id
1000001,30,12027,9,8,High,Teacher Referral,Closed,2026-06-09 10:48:00,2026-06-10 02:48:00,2026-06-27 11:48:00,2026-07-02 11:48:00,False,33
1000002,7,18365,12,3,Medium,Anonymous Form,Resolved,2025-03-20 15:27:00,2025-03-21 06:27:00,2025-04-15 17:27:00,,False,24
1000003,23,,5,6,Medium,Email,Pending Parent,2026-01-31 14:01:00,2026-01-31 22:01:00,,,False,17
1000004,7,6057,12,5,Medium,Parent Portal,In Progress,2025-10-18 08:10:00,2025-10-19 09:10:00,,,False,24
1000005,11,9402,12,1,Medium,Counselor Intake,Closed,2024-09-07 16:31:00,2024-09-08 13:31:00,2024-10-02 21:31:00,2024-10-02 21:31:00,False,24
1000006,16,,10,2,Low,Email,In Progress,2025-01-22 14:24:00,2025-01-23 08:24:00,,,False,10
1000007,9,,3,2,Medium,Anonymous Form,New,2025-02-08 16:30:00,2025-02-09 09:30:00,,,False,15
1000008,6,19225,4,1,Low,Teacher Referral,Resolved,2024-11-08 09:46:00,2024-11-08 19:46:00,2024-11-19 14:46:00,,False,4
1000009,21,2945,6,1,Medium,Anonymous Form,Assigned,2024-09-18 10:50:00,2024-09-19 08:50:00,,,False,18
1000010,23,,12,6,Low,Anonymous Form,Resolved,2026-01-10 13:53:00,2026-01-11 07:53:00,2026-01-14 16:53:00,,False,12
1000011,2,,6,5,Medium,Anonymous Form,In Progress,2025-10-09 10:33:00,2025-10-09 23:33:00,,,False,18
1000012,20,20149,9,5,Medium,Student Portal,Escalated,2025-09-14 08:03:00,2025-09-15 05:03:00,,,False,21
1000013,19,20284,1,5,High,Teacher Referral,Closed,2025-08-16 14:01:00,2025-08-17 03:01:00,2025-09-12 20:01:00,2025-09-13 20:01:00,False,25
1000014,3,1752,10,8,Medium,Parent Portal,In Progress,2026-06-22 09:00:00,2026-06-23 13:00:00,,,False,22
1000015,8,9319,8,5,Low,Parent Portal,Closed,2025-09-02 08:27:00,2025-09-03 06:27:00,2025-09-09 10:27:00,2025-09-13 10:27:00,False,8
1000016,29,9126,2,2,Low,Counselor Intake,Pending Parent,2024-11-16 15:30:00,2024-11-17 04:30:00,,,False,2
1000017,28,24857,8,4,Medium,Parent Portal,Resolved,2025-06-19 13:15:00,2025-06-19 16:15:00,2025-07-09 19:15:00,,False,20
1000018,11,8232,3,2,Medium,Teacher Referral,Closed,2025-01-20 13:23:00,2025-01-21 21:23:00,2025-01-23 15:23:00,2025-01-28 15:23:00,True,15
1000019,2,4747,2,5,High,Student Portal,Resolved,2025-08-26 09:34:00,2025-08-27 00:34:00,2025-09-20 13:34:00,,False,26
1000020,20,6007,12,3,Low,Parent Portal,Resolved,2025-02-23 10:54:00,2025-02-24 17:54:00,2025-03-16 14:54:00,,False,12
1000021,19,2046,4,4,Medium,Phone,In Progress,2025-05-16 15:29:00,2025-05-17 14:29:00,,,False,16
1000022,21,20902,11,7,High,Teacher Referral,In Progress,2026-04-22 16:40:00,2026-04-22 20:40:00,,,False,35
1000023,11,,10,3,Low,Counselor Intake,Closed,2025-04-26 14:09:00,2025-04-27 06:09:00,2025-05-26 17:09:00,2025-05-29 17:09:00,False,10
1000024,2,21328,7,5,Critical,Parent Portal,Closed,2025-10-16 10:28:00,2025-10-16 16:28:00,2025-11-11 10:28:00,2025-11-14 10:28:00,True,43
1000025,15,400,11,3,Medium,Anonymous Form,In Progress,2025-02-23 15:56:00,2025-02-24 17:56:00,,,False,23
1000026,13,12078,11,3,Low,Counselor Intake,In Progress,2025-04-09 14:19:00,2025-04-10 21:19:00,,,False,11
1000027,5,23251,4,7,Low,Student Portal,Closed,2026-04-22 09:40:00,2026-04-23 08:40:00,2026-05-03 11:40:00,2026-05-05 11:40:00,True,4
1000028,17,,9,5,Low,Phone,Resolved,2025-10-28 15:17:00,2025-10-28 17:17:00,2025-11-07 23:17:00,,False,9
1000029,9,17967,12,5,Critical,Email,In Progress,2025-09-17 11:34:00,2025-09-17 13:34:00,,,False,48
1000030,17,,6,5,Low,Counselor Intake,In Progress,2025-10-15 10:15:00,2025-10-17 06:15:00,,,False,6
1000031,21,11493,10,2,High,Email,Resolved,2025-02-04 08:23:00,2025-02-04 10:23:00,2025-03-04 16:23:00,,False,34
1000032,7,3847,11,5,Low,Email,Escalated,2025-10-20 08:52:00,2025-10-22 00:52:00,,,False,11
1000033,30,4507,11,2,Medium,Parent Portal,Resolved,2025-01-11 11:42:00,2025-01-12 19:42:00,2025-01-28 12:42:00,,False,23
1000034,21,8636,2,1,Low,Anonymous Form,Closed,2024-10-01 14:18:00,2024-10-02 02:18:00,2024-10-02 14:18:00,2024-10-07 14:18:00,False,2
1000035,27,18064,10,5,Low,Counselor Intake,Assigned,2025-08-29 11:55:00,2025-08-31 08:55:00,,,False,10
1000036,1,24714,2,2,High,Email,Resolved,2024-11-29 10:56:00,2024-11-29 23:56:00,2024-12-03 10:56:00,,False,26
1000037,15,968,9,4,Critical,Teacher Referral,Escalated,2025-07-30 15:19:00,2025-07-30 23:19:00,,,False,45
1000038,13,6432,1,7,Low,Teacher Referral,Closed,2026-04-20 10:27:00,2026-04-21 19:27:00,2026-04-25 14:27:00,2026-04-25 14:27:00,False,1
1000039,15,17045,2,7,Medium,Anonymous Form,Escalated,2026-02-18 16:23:00,2026-02-18 19:23:00,,,False,14
1000040,12,21350,3,1,Low,Email,In Progress,2024-09-19 08:46:00,2024-09-20 20:46:00,,,False,3
1000041,26,12639,7,3,Medium,Teacher Referral,Resolved,2025-02-13 08:26:00,2025-02-13 18:26:00,2025-03-01 10:26:00,,False,19
1000042,2,,7,4,High,Teacher Referral,Triaged,2025-07-09 13:22:00,2025-07-09 22:22:00,,,False,31
1000043,8,17851,10,1,Medium,Email,Triaged,2024-08-27 09:47:00,2024-08-27 22:47:00,,,False,22
1000044,28,17362,8,1,Medium,Counselor Intake,Closed,2024-08-21 12:55:00,2024-08-21 18:55:00,2024-09-09 15:55:00,2024-09-09 15:55:00,False,20
1000045,11,1934,6,7,Medium,Phone,Closed,2026-02-28 10:39:00,2026-03-01 08:39:00,2026-03-19 18:39:00,2026-03-19 18:39:00,False,18
1000046,29,14514,7,3,Medium,Teacher Referral,Escalated,2025-03-22 11:40:00,2025-03-23 03:40:00,,,False,19
1000047,6,,3,4,Medium,Parent Portal,Assigned,2025-07-06 13:31:00,2025-07-06 14:31:00,,,False,15
1000048,30,11161,12,6,Medium,Phone,In Progress,2026-01-16 12:22:00,2026-01-17 13:22:00,,,False,24
1000049,3,,10,8,Medium,Anonymous Form,Resolved,2026-06-28 08:53:00,2026-06-29 09:53:00,2026-07-13 12:53:00,,False,22
1000050,7,17973,4,4,High,Parent Portal,Escalated,2025-07-28 16:06:00,2025-07-28 17:06:00,,,False,28
1000051,6,23294,10,1,Medium,Student Portal,In Progress,2024-11-09 09:00:00,2024-11-10 08:00:00,,,False,22
1000052,17,,1,1,Medium,Parent Portal,In Progress,2024-10-31 11:25:00,2024-10-31 13:25:00,,,False,13
1000053,4,15408,9,5,Medium,Teacher Referral,Resolved,2025-10-22 10:00:00,2025-10-23 16:00:00,2025-11-10 17:00:00,,False,21
1000054,4,6268,7,5,Low,Student Portal,Reopened,2025-10-27 12:46:00,2025-10-29 12:46:00,,,False,7
1000055,26,21406,5,7,High,Anonymous Form,New,2026-03-08 10:37:00,2026-03-08 20:37:00,,,True,29
1000056,26,19642,6,4,Low,Teacher Referral,Closed,2025-07-14 15:22:00,2025-07-16 01:22:00,2025-07-22 20:22:00,2025-07-22 20:22:00,False,6
1000057,24,1940,11,3,Low,Anonymous Form,Pending Parent,2025-02-16 14:01:00,2025-02-16 18:01:00,,,False,11
1000058,6,,9,8,Medium,Email,Resolved,2026-06-26 08:52:00,2026-06-26 23:52:00,2026-07-09 09:52:00,,False,21
1000059,6,7184,7,2,Low,Parent Portal,Assigned,2025-01-25 16:24:00,2025-01-26 18:24:00,,,False,7
1000060,12,,5,1,Medium,Parent Portal,In Progress,2024-08-26 13:48:00,2024-08-27 21:48:00,,,False,17
1000061,25,4946,12,1,Medium,Phone,Pending Parent,2024-10-05 15:10:00,2024-10-06 07:10:00,,,False,24
1000062,14,10063,5,4,Low,Teacher Referral,Assigned,2025-06-17 16:13:00,2025-06-17 18:13:00,,,False,5
1000063,27,15209,2,6,Medium,Teacher Referral,Pending Parent,2025-11-27 16:01:00,2025-11-27 19:01:00,,,False,14
1000064,15,,8,5,Medium,Counselor Intake,Resolved,2025-09-08 10:14:00,2025-09-09 11:14:00,2025-09-22 13:14:00,,False,20
1000065,5,17987,1,4,Medium,Anonymous Form,Resolved,2025-05-14 14:30:00,2025-05-15 03:30:00,2025-06-01 17:30:00,,False,13
1000066,1,,2,1,Medium,Parent Portal,Escalated,2024-10-29 08:24:00,2024-10-30 11:24:00,,,False,14
1000067,12,16938,4,6,Low,Parent Portal,Closed,2025-11-24 11:13:00,2025-11-26 04:13:00,2025-12-21 15:13:00,2025-12-24 15:13:00,False,4
1000068,2,22427,4,4,Medium,Teacher Referral,In Progress,2025-07-20 10:57:00,2025-07-21 16:57:00,,,False,16
1000069,4,11244,11,8,High,Phone,Closed,2026-05-26 10:55:00,2026-05-26 11:55:00,2026-05-28 15:55:00,2026-05-31 15:55:00,False,35
1000070,4,2711,8,7,Low,Anonymous Form,Resolved,2026-03-06 14:15:00,2026-03-07 02:15:00,2026-03-21 22:15:00,,False,8
1000071,23,9966,9,6,Medium,Teacher Referral,In Progress,2025-12-15 16:52:00,2025-12-15 18:52:00,,,False,21
1000072,5,5671,12,6,Medium,Anonymous Form,Escalated,2025-11-16 11:58:00,2025-11-17 16:58:00,,,False,24
1000073,26,18776,10,3,Low,Parent Portal,In Progress,2025-04-15 10:15:00,2025-04-16 18:15:00,,,False,10
1000074,20,7297,9,7,Medium,Student Portal,In Progress,2026-03-20 10:42:00,2026-03-21 04:42:00,,,False,21
1000075,7,20576,10,1,Medium,Parent Portal,Reopened,2024-11-09 10:09:00,2024-11-09 11:09:00,,,False,22
1000076,18,4948,6,1,Medium,Anonymous Form,In Progress,2024-09-05 14:29:00,2024-09-05 23:29:00,,,False,18
1000077,4,17296,2,6,High,Anonymous Form,Resolved,2026-01-14 12:41:00,2026-01-15 01:41:00,2026-01-24 17:41:00,,False,26
1000078,18,23492,8,6,High,Counselor Intake,In Progress,2026-01-05 10:30:00,2026-01-05 17:30:00,,,False,32
1000079,5,957,6,5,Low,Parent Portal,Pending Student,2025-10-09 14:32:00,2025-10-10 13:32:00,,,False,6
1000080,29,20388,6,1,High,Counselor Intake,Resolved,2024-08-18 08:39:00,2024-08-19 00:39:00,2024-08-24 14:39:00,,False,30
1000081,28,10352,10,6,Critical,Anonymous Form,Assigned,2025-12-31 12:27:00,2025-12-31 17:27:00,,,False,46
1000082,14,22668,12,5,Medium,Student Portal,Closed,2025-08-14 10:33:00,2025-08-14 11:33:00,2025-09-05 18:33:00,2025-09-06 18:33:00,False,24
